Store Name,Address,City,Email,Phone
Don's Photo - Winnipeg (Main Street),1839 Main St,"Winnipeg, MB, Canada",sales@donsphoto.ca,(204) 942-7887
Don's Photo - Winnipeg (Portage),410 Portage Ave,"Winnipeg, MB, Canada",410portage@donsphoto.ca,(204) 942-3143
Harvey Studios,372 Queen Street,"Fredericton, NB, Canada",harveys@fotosource.com,(888) 512-2444
Ivan's Camera Foto Source,181 St. George Street,"Moncton, NB, Canada",ivans@fotosource.com,(506) 857-4018
Foto Experts Inc.,"44 Maple Valley Rd, Corner Brook Plaza","Corner Brook, NL, Canada",sales@fotoexpertsinc.ca,709-632-4830
Altronics Limited - Audio Video Unlimited,74 Broadway (Broadway Minimall),"Corner Brook, NL, Canada",online@altronicsltd.com,1-800-563-6351
PhotoTec Services Inc.,"50 Pippy Place, Unit 1A","St. John's, NL, Canada",sales@phototec.ca,(877) 753-0047
The Photo Shop at the 5-100 Foto Source,"245 Main Street, P.O. Box 1538","Antigonish, NS, Canada",sjewkes@eastlink.ca,(902) 863-2571
Atlantic Photo Supply Halifax - Dartmouth,"204 Brownlow Avenue, Unit 110","Dartmouth, NS, Canada",allen@atlanticphotosupply.com,902) 423-6724
Atlantic Photo Supply Halifax - Halifax,6111 Pepperell Street,"Halifax, NS, Canada",allen@atlanticphotosupply.com,(902) 423-6724
Pridham's Studio Foto Source,143 Archimedes Street,"New Glasgow, NS, Canada",pridhamsstudio@eastlink.ca,1 902 752 4282
Japan Camera Centre J107,47 Pitt Street,"Sydney, NS, Canada",sydney@japancamera.com,(902) 539-5040
Quality Cameras Foto Source,245 George Street,"Sydney, NS, Canada",john@quality-cameras.com,(902) 562-3600
Pridham's Studio,"594 Prince Street, PO Box 670","Truro, NS, Canada",pridhamstruro@eastlink.ca,1 902 895 1694
Japan Camera - Belleville,"366 North Front St, Bay Camera Limited","Belleville, ON, Canada",evoyj@cogeco.net,(613) 966-5056
Hunter's Foto Source,"14341 Old Scugog Rd., P.O. Box 280","Blackstock, ON, Canada",brett@huntersfotosource.com,(888) 883-3220
Fairview Photo Lab foto source (Carmans),403 Fairview Drive,"Brantford, ON, Canada",fairviewphotolab@rogers.com,(519) 756-2942
Burlington Camera Inc.,489 Guelph Line,"Burlington, ON, Canada",info@burlingtoncamera.com,(905) 632-7722
Foto Source Caledonia,"345 Argyle St S., Unit 7","Caledonia, ON, Canada",caledonia.fotosource@rogers.com,(905) 765-5441
Brian's Foto Inc Foto Source,57 Arthur street south,"Elmira, ON, Canada",primuspilum@hotmail.com,(519) 210-0608
Elmira Foto Source (online pick up location),25 Industrial Dr,"Elmira, ON, Canada",pondsfoto@gmail.com,(519) 823-5610
Milton Foto Source - Georgetown,"27-280 Guelph St., Marketplace Mall","Georgetown, ON, Canada",customerservice@georgetownphoto.ca,(905) 873-1237
Foto Source Guelph (Ponds),93 Wyndham St. N.,"Guelph, ON, Canada",quinn@pondsfoto.com,(519) 823-5610
Bell Arte Camera,85 Ottawa Street North,"Hamilton, ON, Canada",bellartecamera@cogeco.net,(905) 545-8877
Cavalcade Color Lab,34 King William Street,"Huntsville, ON, Canada",kelly.cavalcade@gmail.com,(705) 789-9603
Camera Kingston Foto Source,114 Princess Street,"Kingston, ON, Canada",sales@camerakingston.com,(613) 549-3747
Photo Master,385 Frederick Street,"Kitchener, ON, Canada",photomaster@rogers.com,(519) 744-9581
Kitchener foto source,451 Ottawa St South,"Kitchener, ON, Canada",quinn@pondsfoto.com,519-208-0057
AFS Aerial Photography Inc.,2100 Crumlin Sideroad,"London, ON, Canada",lynda@aerialphotography.ca,(519) 453-8999
Milton Photo,55 Ontario Street,"Milton, ON, Canada",customerservice@miltonphoto.ca,(905) 878-3361
Milton Photo Source - Erin Mills,5100 Erin Mills Pkwy,"Mississauga, ON, Canada",customerservice@erinmillsphoto.ca,(905) 699-3113
Photo Metro,191 Lakeshore Drive,"North Bay, ON, Canada",prints@photometro.ca,(705) 472-9311
Polar Studio,191 Lakeshore Drive,"North Bay, ON, Canada",brian@polarstudio.ca,705-472-1621
F-Stop Foto & Framing,"98 First Street, Unit 4","Orangeville, ON, Canada",michael@fstoponline.com,(519) 941-4381
Galaxy Camera,525 Bank Street,"Ottawa, ON, Canada",galaxycamera@aol.com,(613) 234-8831
Parsons Foto Source,1033 2nd Ave. East,"Owen Sound, ON, Canada",parsons@fotosource.com,(519) 376-0330
Boggio Pharmacy/ Photographic Memories,200 Catharine St.,"Port Colborne, ON, Canada",photos@boggios.com,(905) 834-3514
Golden Electronics,9019 Bayview Avenue Unit #22,"Richmond Hill, ON, Canada",goldenelectronics2@rogers.com,905-881-7328
Royal Photo,2374 Laurier Street,"Rockland, ON, Canada",royalphoto@bellnet.ca,(613) 446-1771
Carman's foto source - Sarnia,101 Ontario St.,"Sarnia, ON, Canada",sn@carmans.com,(519) 344-0242
Phoenix Professional Labs,"50 Weybright Court, Unit #18","Scarborough, ON, Canada",info@phoenixprolabs.com,(416) 290-5129
Frederick's Foto Source,314 Lake Street,"St. Catharines, ON, Canada",info@fredericksphoto.com,(905) 646-4044
Carman's foto source - Stratford,44 Wellington St,"Stratford, ON, Canada",sf@carmans.com,(519) 271-6261
Primary Image,1263 Amber Drive,"Thunder Bay, ON, Canada",dean@primaryfoto.ca,(807) 345-7041
Annex Photo,362 Bloor St W,"Toronto, ON, Canada",photos@annexphoto.ca,416-922-0920
DV Shop Inc.,3422 Dundas St. West,"Toronto, ON, Canada",storm@dvshop.ca,(416) 604-1492
FilmPlus Photo Supply,327 Symington Avenue,"Toronto, ON, Canada",sales@filmplus.ca,(416) 535-3747
Fotobox,936 The Queensway,"Toronto, ON, Canada",lanny@fotobox.ca,(647) 430-8499
Photo 123,2 Homewood Avenue,"Toronto, ON, Canada",photo@photo123.com,(416) 920-3844
West Camera,"690 Queen St., West","Toronto, ON, Canada",westcamera@gmail.com,(416) 504-9432
Carman's foto source - Woodstock,230 Springbank Ave.,"Woodstock, ON, Canada",wd@carmans.com,(519) 537-3636
PEI Photo Lab,55 Queen St.,"Charlottetown, PE, Canada",peiphotolab@eastlink.ca,7057962529
Gosselin Foto Source - Brossard,"8640, boul. Leduc - Suite 50","Brossard, QC, Canada",dix30@gosselinphoto.ca,450 904-0808
Justin Maltais Photo,34 rue Racine Est,"Chicoutimi, QC, Canada",magasin@justinmaltaisphoto.com,(418) 549-7991
Centre Japonais de la Photo - Place du Saguenay,"1324, Boulevard Talbot","Chicoutimi, QC, Canada",info@centrejaponais.qc.ca,418-543-0490
Fotoplus Delson,10 D Georges-Gagné,"Delson, QC, Canada",info@fotoplus.ca,(450) 638-4288
Granby Photo,22 rue Centre,"Granby, QC, Canada",photo@granbyphoto.com,(450) 372-3350
Photo Minutes Foto Source,40 rue Evangeline,"Granby, QC, Canada",photominutes@fotosource.com,(450) 378-1255
Studio May,459 Main Road,"Hudson, QC, Canada",info@studiomay.ca,(450) 458-4621
Photo J,200 rue Baby,"Joliette, QC, Canada",rgenereux@photoj.ca,450-759-6956
Gosselin Foto Source - Laval,"Galeries Laval, 1637 boul. Le Corbusier","Laval, QC, Canada",laval@gosselinphoto.ca,(450) 682-3999
Photo Laplante,350 boul. des Laurentides,"Laval, QC, Canada",photolaplante@fotosource.com,(450) 669-0595
Centre d'Images St-Jean,755 Avenue Taniata,"Lévis, QC, Canada",imagestjean@fotosource.com,(418) 839-8481
Centre Japonais de la photo - Centre Eaton,625 Saint-Catherine St W,"Montreal, QC, Canada",centreeaton@centrejaponaisdelaphoto.com,(514) 842-5133
Centre Japonais de la Photo - Centre Rockland,"2305 Rockland Road, Suite 125","Montreal, QC, Canada",centrerockland@centrejaponais.com,(514) 341-1101
Photo Service Foto Source,222 Rue Notre-Dame Ouest,"Montreal, QC, Canada",info@photoservice.ca,514-849-2291
Photo St-Denis,3772 St-Denis,"Montreal, QC, Canada",info@photostdenis.com,(514) 288-1405
Royal Photo Inc.,2106 boul. Rosemont,"Montreal, QC, Canada",info@royalphoto.com,(514) 273-1723
ABC Office Equipment,6785 Hutchinson St,"Montreal, QC, Canada",gg@abcoffice.ca,(514) 733-6300
Pratt Innovations,5805 Decarie Blvd,"Montreal, QC, Canada",info@prattimage.ca,514-738-0119
Camtec Photo - Notre Dame,26 Notre-Dame East,"Montreal, QC, Canada",Jeanb@camtecphoto.com,514-875-5110
Camtec Photo - McGill,495 rue McGill,"Montreal, QC, Canada",jeanb@camtecphoto.com,514-842-4818
Gosselin Photo - Montrléal,351 Ste-Catherine,"Montreal, QC, Canada",montreal@gosselinphoto.ca,514-657-2588
Excellent Photo,5387 Park Ave,"Montreal, QC, Canada",eli@excellentphoto.ca,18332174686
Lord Photo Inc.,45 Boul St-Luc,"Saint Jean Sur Richelieu, QC, Canada",paulc@lordphoto.ca,(450) 348-7569
Gosselin Foto Source - Québec,"Place de la Cité, 2600 boul. Laurier, bureau 100","Sainte Foy, QC, Canada",placedelacite@gosselinphoto.ca,418) 656-6309
Photo des Moulins,744 boul. Des Seigneurs,"Terrebonne, QC, Canada",info@photodesmoulins.com,(450) 471-7147
Gosselin Foto Source - Trois-Rivières,3748 Boul. des Forges,"Trois-Rivieres, QC, Canada",trois-rivieres@gosselinphoto.ca,(819) 376-9191
Victoriaville Photo Inc. Foto Source,136 Notre-Dame Est,"Victoriaville, QC, Canada",info@pixm.com,819 758-7536
Wells Camera & Sound Foto Source,1102 Main Street North,"Moose Jaw, SK, Canada",wells.sales@sasktel.net,(306) 693-3494
Bird Films,"4621 Rae Street, #3","Regina, SK, Canada",birdfilms@accesscomm.ca,(306) 586-0311
Don's Photo - Regina,210 - 2410 Dewdney Avenue,"Regina, SK, Canada",regina@donsphoto.ca,(306) 347-7887
Don's Photo - Saskatoon,1902 8th Street East,"Saskatoon, SK, Canada",Saskatoon@donsphoto.ca,(306) 934-3111
